               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10931,            0.073128,            0.054855,            0.038196,            0.062047,            0.026322,           0.0068637,            0.090154,            0.060917,            0.050872,              0.0757,              0.0027,              0.0027
                   1,             0.08387,            0.076104,            0.044318,             0.47336,             0.15058,            0.056553,             0.01518,            0.081634,             0.09576,            0.046709,             0.05044,           0.0054395,           0.0054395
                   2,            0.077276,            0.068505,            0.039543,             0.55664,             0.21988,             0.12977,            0.043406,            0.079136,             0.05228,            0.037723,            0.025117,           0.0081174,           0.0081174
                   3,            0.078424,            0.061785,            0.034663,             0.58612,             0.24831,             0.15854,            0.056472,            0.079778,             0.04505,            0.030513,             0.00967,             0.00967,             0.00967
                   4,            0.071839,            0.062161,            0.032075,             0.71159,             0.24154,             0.19598,            0.072643,            0.059403,            0.048977,            0.026248,             0.00967,             0.00967,             0.00967
                   5,            0.061853,            0.059143,            0.028114,             0.43098,             0.30638,             0.18014,            0.069109,            0.062513,            0.045973,            0.023738,             0.00956,             0.00956,             0.00956
                   6,            0.058873,            0.060165,            0.024457,             0.48115,             0.40316,             0.34931,             0.15309,            0.053352,            0.046141,            0.020935,             0.00945,             0.00945,             0.00945
                   7,              0.0557,            0.060857,            0.023078,             0.34398,             0.50834,             0.36459,             0.15713,            0.052465,             0.04818,            0.021245,             0.00934,             0.00934,             0.00934
                   8,            0.054354,            0.056456,            0.021037,             0.38795,             0.52282,             0.41476,              0.1875,            0.051427,            0.043676,            0.017782,             0.00923,             0.00923,             0.00923
                   9,            0.050703,            0.057863,            0.018728,             0.37088,             0.54886,             0.43311,              0.1931,            0.053365,            0.044701,            0.017268,             0.00912,             0.00912,             0.00912
                  10,            0.049602,            0.056896,            0.017403,             0.32163,             0.61859,             0.45359,             0.22079,            0.050074,            0.044577,            0.014708,             0.00901,             0.00901,             0.00901
                  11,            0.047954,            0.053126,            0.016937,             0.41706,             0.57936,             0.49035,             0.25396,            0.046172,            0.047823,              0.0159,              0.0089,              0.0089,              0.0089
